market,commodity,unit,record_count,mean_price,minimum_price,maximum_price
Kotido,Sorghum,KG,79,1044.0379746835442,550.0,2000.0
Rwamwanja (refugee settlement),Charcoal,KG,54,1038.3153703703704,558.0,1458.0
Adjumani (refugee settlement),Plate (plastic),Unit,23,1037.9273913043478,800.0,1833.33
Palabek (refugee settlement),Mug (plastic),Unit,21,1034.98,739.58,2000.0
Rwamwanja (refugee settlement),Mug (plastic),Unit,24,1033.5833333333333,667.0,2000.0
Rhino Camp (refugee settlement),Wooden mingle,Unit,22,1032.9545454545455,600.0,2167.0
Adjumani (refugee settlement),Torch,Unit,20,1031.885,786.0,1333.0
Kiryandongo (refugee settlement),Torch,Unit,18,1027.7777777777778,1000.0,1500.0
Lobule (refugee settlement),Mug (plastic),Unit,24,1018.8329166666667,500.0,2000.0
Nakivale (refugee settlement),Plate (plastic),Unit,22,1016.0,817.0,1500.0
Palabek (refugee settlement),Torch,Unit,20,1011.65,1000.0,1167.0
Lobule (refugee settlement),Torch,Unit,19,1008.8947368421053,667.0,2000.0
Lobule (refugee settlement),Plate (plastic),Unit,24,1003.3333333333334,500.0,1500.0
Palorinya (refugee settlement),Plate (plastic),Unit,23,1001.434347826087,833.33,1500.0
Palorinya (refugee settlement),Rope,Unit,18,992.0,300.0,2333.0
Imvepi (refugee settlement),Plate (plastic),Unit,22,985.8900000000001,500.0,1500.0
Kyaka II (refugee settlement),Torch,Unit,24,979.1666666666666,500.0,1000.0
Rwamwanja (refugee settlement),Torch,Unit,24,976.875,667.0,1000.0
Bidibidi (refugee settlement),Plate (plastic),Unit,23,974.0,875.0,1000.0
Kyaka II (refugee settlement),Plate (plastic),Unit,22,973.8636363636364,600.0,1875.0
Lira,Maize (white),KG,166,971.3781927710843,483.0,2000.0
Kyangwali (refugee settlement),Plate (plastic),Unit,24,971.18,450.0,1500.0
Nakivale (refugee settlement),Mug (plastic),Unit,16,965.125,500.0,1375.0
Kiryandongo (refugee settlement),Plate (plastic),Unit,23,950.304347826087,500.0,1500.0
Bidibidi (refugee settlement),Mug (plastic),Unit,23,947.2608695652174,750.0,1000.0
Kabale,Maize,KG,35,947.2594285714287,540.85,1365.58
Rwamwanja (refugee settlement),Plate (plastic),Unit,23,941.6378260869565,600.0,1500.0
Rhino Camp (refugee settlement),Plate (plastic),Unit,22,937.3636363636364,500.0,1333.0
Oruchinga (refugee settlement),Mug (plastic),Unit,18,920.9633333333334,500.0,1200.0
Palabek (refugee settlement),Charcoal,KG,53,920.6056603773585,312.5,6167.0
Kyangwali (refugee settlement),Mug (plastic),Unit,24,914.1508333333333,500.0,1500.0
Lira,Sorghum,KG,163,911.5911656441717,427.5,2000.0
Nabilatuk,Cassava flour,KG,2,896.0,874.0,918.0
Imvepi (refugee settlement),Mug (plastic),Unit,23,894.985652173913,500.0,2500.0
Lobule (refugee settlement),Charcoal,KG,53,894.5971698113208,320.0,2000.0
Kiryandongo (refugee settlement),Mug (plastic),Unit,22,877.5713636363636,500.0,2000.0
Kyangwali (refugee settlement),Charcoal,KG,46,868.5715217391305,500.0,2222.0
Bidibidi (refugee settlement),Exercise Book (48 pages),Unit,20,866.05,500.0,1625.0
Bidibidi (refugee settlement),Wooden mingle,Unit,23,859.5652173913044,425.0,3500.0
Palorinya (refugee settlement),Torch,Unit,22,854.1363636363636,500.0,1000.0
